iter	MultiClass
0	3.09221662
1	2.935172601
2	2.809852187
3	2.702291111
4	2.605910187
5	2.520885953
6	2.445398779
7	2.377381349
8	2.31300841
9	2.25393525
10	2.201678984
11	2.150062407
12	2.10312088
13	2.058605129
14	2.017197423
15	1.977248113
16	1.940908666
17	1.905818383
18	1.871666558
19	1.839751973
20	1.81040611
21	1.781040103
22	1.752631049
23	1.726258131
24	1.699591559
25	1.674786717
26	1.649928537
27	1.627232935
28	1.603829742
29	1.581238238
30	1.559887404
31	1.539726905
32	1.519351471
33	1.500227683
34	1.480298265
35	1.461351909
36	1.443457712
37	1.426122589
38	1.409269309
39	1.394541005
40	1.378434967
41	1.362907306
42	1.347951899
43	1.333588961
44	1.319566748
45	1.306429201
46	1.292211666
47	1.278586331
48	1.265019704
49	1.252125746
50	1.240469046
51	1.227877435
52	1.216049454
53	1.204456231
54	1.193146838
55	1.182502681
56	1.171375531
57	1.160556699
58	1.149281111
59	1.138520864
60	1.128341724
61	1.118453696
62	1.108190925
63	1.098259357
64	1.089376807
65	1.080866267
66	1.072149697
67	1.063833309
68	1.054436884
69	1.045278484
70	1.036132586
71	1.02721541
72	1.019291811
73	1.011434755
74	1.004102072
75	0.9957671147
76	0.9881531786
77	0.9805995744
78	0.9727566395
79	0.9652403378
80	0.9585869705
81	0.9521397611
82	0.9450011254
83	0.937501251
84	0.9310256759
85	0.9240309535
86	0.9171057529
87	0.9116790728
88	0.9059826642
89	0.899852404
90	0.893474545
91	0.8872879541
92	0.8809248444
93	0.8748917578
94	0.8695254367
95	0.8641802611
96	0.8586455801
97	0.8529829862
98	0.8475841204
99	0.842233229
100	0.8374181044
101	0.8318544009
102	0.8265254166
103	0.8215818123
104	0.8167191961
105	0.8120265389
106	0.8074223653
107	0.8028241472
108	0.7988658308
109	0.7939612746
110	0.7894474461
111	0.7846370655
112	0.7802775383
113	0.7759523271
114	0.771870789
115	0.7682225167
116	0.7641236196
117	0.7597951026
118	0.7551012287
119	0.7517686651
120	0.7474726916
121	0.743463081
122	0.7395772313
123	0.7361563728
124	0.7320703883
125	0.7280934654
126	0.7242245416
127	0.720570153
128	0.7165218169
129	0.7129157955
130	0.7095133912
131	0.7059023974
132	0.7025299583
133	0.6985867637
134	0.6952304691
135	0.691466326
136	0.6881516809
137	0.6843678063
138	0.6807491483
139	0.677782696
140	0.6749637472
141	0.6714972769
142	0.6684777007
143	0.6657234336
144	0.6623272642
145	0.6594395282
146	0.65643195
147	0.6536690766
148	0.6505799679
149	0.6477025491
150	0.6449764941
151	0.642394918
152	0.6396323031
153	0.6370659328
154	0.6343608592
155	0.6314716176
156	0.6290567044
157	0.6261899913
158	0.6241715259
159	0.6219403583
160	0.6195181496
161	0.617084824
162	0.6145215725
163	0.6121861414
164	0.6094052132
165	0.6066738068
166	0.6045336811
